@relation ??-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
0.612245,FEMALE,INNER_CITY,0.215634,NO,1,NO,NO,NO,NO,YES
0.44898,MALE,TOWN,0.431395,YES,3,YES,NO,YES,YES,NO
0.673469,FEMALE,INNER_CITY,0.198933,YES,0,YES,YES,YES,NO,NO
0.102041,FEMALE,TOWN,0.26432,YES,3,NO,NO,YES,NO,NO
0.795918,FEMALE,RURAL,0.783987,YES,0,NO,YES,NO,NO,NO
0.795918,FEMALE,TOWN,0.565343,YES,2,NO,YES,YES,NO,YES
0.081633,MALE,RURAL,0.066468,NO,0,NO,NO,YES,NO,YES
0.816327,MALE,TOWN,0.342977,YES,0,YES,YES,YES,NO,NO
0.387755,FEMALE,SUBURBAN,0.349132,YES,2,YES,NO,NO,NO,NO
0.734694,MALE,TOWN,0.330338,YES,2,YES,YES,YES,NO,NO
0.979592,FEMALE,TOWN,0.942766,YES,0,NO,YES,YES,NO,NO
0.693878,FEMALE,INNER_CITY,0.372438,NO,0,YES,YES,YES,YES,NO
0.530612,FEMALE,TOWN,0.184486,YES,1,NO,YES,YES,YES,YES
0.979592,FEMALE,TOWN,0.863628,YES,1,YES,YES,YES,YES,YES
0.367347,MALE,RURAL,0.24882,YES,0,NO,YES,YES,YES,NO
0.408163,FEMALE,INNER_CITY,0.298161,YES,0,YES,YES,YES,YES,NO
0.387755,FEMALE,TOWN,0.218797,YES,2,NO,NO,NO,YES,NO
0.571429,FEMALE,SUBURBAN,0.619483,YES,0,NO,YES,NO,YES,NO
0.897959,FEMALE,INNER_CITY,0.376747,YES,0,NO,YES,NO,NO,YES
0.265306,MALE,TOWN,0.30127,YES,0,YES,YES,YES,NO,NO
0.877551,MALE,INNER_CITY,0.909674,YES,2,NO,YES,NO,NO,YES
0.653061,MALE,TOWN,0.19759,YES,2,NO,YES,YES,NO,NO
0.734694,MALE,INNER_CITY,0.575271,YES,0,NO,YES,YES,NO,NO
0.183673,FEMALE,TOWN,0.181097,NO,0,YES,YES,YES,YES,NO
0.081633,MALE,INNER_CITY,0.131222,NO,2,YES,YES,YES,NO,NO
0.77551,MALE,INNER_CITY,0.619792,YES,0,YES,YES,YES,YES,NO
0.55102,MALE,INNER_CITY,0.271793,YES,0,NO,YES,YES,YES,NO
0.428571,FEMALE,TOWN,0.259822,YES,1,NO,NO,YES,NO,YES
