@relation ??-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Standardize

@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data
0.388563,FEMALE,INNER_CITY,-0.773523,NO,1,NO,NO,NO,NO,YES
-0.166032,MALE,TOWN,0.198541,YES,3,YES,NO,YES,YES,NO
0.596536,FEMALE,INNER_CITY,-0.848766,YES,0,YES,YES,YES,NO,NO
-1.344546,FEMALE,TOWN,-0.55418,YES,3,NO,NO,YES,NO,NO
1.012482,FEMALE,RURAL,1.787071,YES,0,NO,YES,NO,NO,NO
1.012482,FEMALE,TOWN,0.802015,YES,2,NO,YES,YES,NO,YES
-1.41387,MALE,RURAL,-1.44556,NO,0,NO,NO,YES,NO,YES
1.081806,MALE,TOWN,-0.199809,YES,0,YES,YES,YES,NO,NO
-0.374005,FEMALE,SUBURBAN,-0.172079,YES,2,YES,NO,NO,NO,NO
0.804509,MALE,TOWN,-0.256749,YES,2,YES,YES,YES,NO,NO
1.636401,FEMALE,TOWN,2.502419,YES,0,NO,YES,YES,NO,NO
0.66586,FEMALE,INNER_CITY,-0.067075,NO,0,YES,YES,YES,YES,NO
0.111266,FEMALE,TOWN,-0.913854,YES,1,NO,YES,YES,YES,YES
1.636401,FEMALE,TOWN,2.145877,YES,1,YES,YES,YES,YES,YES
-0.443329,MALE,RURAL,-0.624013,YES,0,NO,YES,YES,YES,NO
-0.30468,FEMALE,INNER_CITY,-0.401717,YES,0,YES,YES,YES,YES,NO
-0.374005,FEMALE,TOWN,-0.759274,YES,2,NO,NO,NO,YES,NO
0.249914,FEMALE,SUBURBAN,1.045932,YES,0,NO,YES,NO,YES,NO
1.359104,FEMALE,INNER_CITY,-0.047663,YES,0,NO,YES,NO,NO,YES
-0.789951,MALE,TOWN,-0.387708,YES,0,YES,YES,YES,NO,NO
1.289779,MALE,INNER_CITY,2.353327,YES,2,NO,YES,NO,NO,YES
0.527212,MALE,TOWN,-0.854821,YES,2,NO,YES,YES,NO,NO
0.804509,MALE,INNER_CITY,0.846746,YES,0,NO,YES,YES,NO,NO
-1.067248,FEMALE,TOWN,-0.929126,NO,0,YES,YES,YES,YES,NO
-1.41387,MALE,INNER_CITY,-1.153825,NO,2,YES,YES,YES,NO,NO
0.943158,MALE,INNER_CITY,1.047328,YES,0,YES,YES,YES,YES,NO
0.18059,MALE,INNER_CITY,-0.520512,YES,0,NO,YES,YES,YES,NO
-0.235356,FEMALE,TOWN,-0.574445,YES,1,NO,NO,YES,NO,YES
-0.235356,FEMALE,INNER_CITY,0.142259,NO,3,YES,NO,YES,YES,NO
1.289779,MALE,RURAL,-0.252253,YES,1,NO,NO,YES,NO,YES
1.289779,FEMALE,RURAL,-0.355141,YES,2,NO,YES,YES,NO,NO
-1.552519,FEMALE,TOWN,-0.868116,YES,2,NO,YES,NO,NO,NO
0.18059,MALE,SUBURBAN,-0.316357,YES,1,YES,YES,YES,NO,YES
-0.651302,FEMALE,INNER_CITY,0.185842,NO,3,YES,YES,NO,NO,NO
0.041941,MALE,SUBURBAN,0.775061,NO,0,NO,YES,YES,NO,YES
-1.067248,FEMALE,INNER_CITY,-0.593515,YES,2,NO,YES,YES,NO,NO
-1.621843,MALE,RURAL,-1.284629,YES,3,YES,YES,YES,NO,NO
-0.443329,FEMALE,RURAL,-1.096404,NO,0,YES,NO,YES,NO,YES
0.041941,FEMALE,TOWN,-0.699233,YES,0,YES,YES,YES,NO,NO
1.636401,FEMALE,SUBURBAN,-0.165319,NO,2,NO,NO,YES,NO,NO
0.873833,MALE,TOWN,-0.058129,YES,0,NO,NO,YES,YES,YES
0.319239,FEMALE,INNER_CITY,-0.044299,YES,0,YES,NO,YES,NO,NO
1.705725,MALE,TOWN,2.185553,NO,2,YES,YES,NO,NO,YES
-0.720627,FEMALE,TOWN,0.00368,YES,0,YES,NO,YES,YES,NO
-1.552519,MALE,INNER_CITY,-1.068574,NO,2,YES,YES,YES,YES,NO
1.497752,MALE,INNER_CITY,1.949427,YES,2,NO,YES,YES,YES,YES
0.527212,FEMALE,INNER_CITY,-1.103932,NO,1,YES,YES,YES,NO,YES
-0.9286,MALE,INNER_CITY,-1.117676,NO,2,NO,YES,YES,YES,YES
0.66586,MALE,INNER_CITY,0.932114,NO,2,YES,NO,YES,NO,YES
0.319239,FEMALE,RURAL,-0.748615,YES,2,YES,YES,NO,NO,NO
-1.275221,MALE,TOWN,-1.024409,NO,2,YES,YES,NO,NO,NO
-0.443329,MALE,TOWN,-0.281347,YES,0,NO,NO,NO,NO,NO
0.041941,MALE,TOWN,-0.87324,YES,1,NO,YES,YES,NO,YES
0.388563,MALE,SUBURBAN,0.175982,NO,1,NO,YES,YES,NO,YES
1.428428,MALE,TOWN,2.272843,YES,0,NO,YES,YES,YES,NO
0.66586,FEMALE,RURAL,1.574621,NO,3,NO,YES,NO,NO,YES
1.081806,FEMALE,INNER_CITY,-0.197414,NO,0,NO,NO,YES,NO,YES
-0.997924,MALE,INNER_CITY,-0.341032,YES,0,NO,YES,YES,NO,YES
-0.9286,FEMALE,INNER_CITY,-0.959747,YES,0,NO,NO,YES,NO,NO
-0.581978,MALE,INNER_CITY,-0.169754,NO,1,YES,YES,YES,YES,YES
-0.027383,FEMALE,INNER_CITY,-0.214019,YES,1,NO,YES,YES,YES,YES
1.567077,FEMALE,INNER_CITY,0.70274,NO,1,YES,NO,YES,NO,YES
0.319239,MALE,INNER_CITY,-0.038872,YES,2,NO,YES,YES,NO,NO
-1.552519,MALE,INNER_CITY,-1.226689,YES,0,NO,YES,NO,NO,NO
-1.483194,MALE,TOWN,-1.745019,NO,0,YES,YES,YES,YES,NO
-0.027383,MALE,INNER_CITY,-0.785608,YES,0,NO,YES,YES,NO,NO
-1.621843,MALE,TOWN,-1.291761,NO,2,NO,YES,YES,NO,NO
-0.096707,FEMALE,TOWN,0.571254,NO,0,NO,YES,YES,YES,NO
-0.859275,MALE,TOWN,-0.629556,NO,2,NO,YES,YES,NO,NO
-0.789951,FEMALE,RURAL,-1.324251,YES,2,NO,NO,YES,NO,YES
-1.205897,MALE,INNER_CITY,-1.043387,YES,3,YES,YES,YES,NO,NO
-1.483194,MALE,INNER_CITY,-1.50869,NO,0,NO,NO,YES,NO,YES
